Unique Sort ID (800-53r5),SP 800-53 Rev 5 Control & Control Enhancement,Tailoring Decision,Unique Sort ID (IPD 800-171r3),SP 800-171 Rev 3 Security Requirement,Additional Tailoring ,
AC-02-00-11,h. Notify account managers and [Assignment: organization-defined personnel or roles] within ,CUI,03-01-01h.,3.1.1h. Notify [Assignment: organization-defined personnel or roles] within [Assignment: organization-defined time period] ,"Removed ""account managers""
Moved and combined ODP from AC-2h.1., AC-2h.2., and AC-2h.3. into a single ODP to assign ""time period""",
AC-02-00-12,1. [Assignment: organization-defined time period] when accounts are no longer required;,CUI,03-01-01h.1,3.1.1h.1. When accounts are no longer required;,"ODP for assignment of ""time period"" has been consolidated into 3.1.1g",
AC-02-00-13,2. [Assignment: organization-defined time period] when users are terminated or transferred; and,CUI,03-01-01h.2,3.1.1h.2. When users are terminated or transferred; and,"ODP for assignment of ""time period"" has been consolidated into 3.1.1g",
AC-02-00-14,3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;,CUI,03-01-01h.3,3.1.1h.3. When system usage or need-to-know changes for an individual.,"ODP for assignment of ""time period"" has been consolidated into 3.1.1g",
AC-02-00-15,i. Authorize access to the system based on:,CUI,03-01-01d.,3.1.1d. Authorize access to the system based on a valid access authorization and intended system usage.,"Combined multiple control items  AC-2i., AC-2i.1., AC-2i.2. ",
AC-02-00-16,1. A valid access authorization;,CUI,03-01-01d.,3.1.1d. Authorize access to the system based on a valid access authorization and intended system usage.,"Combined multiple control items  AC-2i., AC-2i.1., AC-2i.2. ",
AC-02-00-17,2. Intended system usage; and,CUI,03-01-01d.,3.1.1d. Authorize access to the system based on a valid access authorization and intended system usage.,"Combined multiple control items  AC-2i., AC-2i.1., AC-2i.2. ",
AC-02-00-18,3. [Assignment: organization-defined attributes (as required)];,NFO, ,—,,
AC-02-00-19,j. Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];,NCO, ,—,,
AC-02-00-20,k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and,NCO, ,—,,
AC-02-00-21,l. Align account management processes with personnel termination and transfer processes.,NCO, ,—,,
AC-02-01-00,AC-2(1)  Account Management | Automated System Account Management,NCO, ,—,,
AC-02-01-01,Support the management of system accounts using [Assignment: organization-defined automated mechanisms].,NCO, ,—,,
AC-02-02-00,AC-2(2)  Account Management | Automated Temporary and Emergency Account Management,NCO, ,—,,
AC-02-02-01,Automatically [Selection:  remove; disable] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].,NCO, ,—,,
AC-02-03-00,AC-2(3)  Account Management | Disable Accounts,CUI, ,3.1.1  Account Management ,,
AC-02-03-01,Disable accounts within [Assignment: organization-defined time period] when the accounts:,CUI,03-03-01f.,3.1.1f. Disable accounts of individuals within [Assignment: organization-defined time period] when the accounts: ,,
AC-02-03-02,(a) Have expired;,CUI,03-03-01f.1,3.1.1f.1. Have expired;,,
AC-02-03-03,(b) Are no longer associated with a user or individual;,CUI,03-03-01f.2,3.1.1f.2. Are no longer associated with a user or individual;,,
AC-02-03-04,(c) Are in violation of organizational policy; or,CUI,03-03-01f.3,3.1.1f.3. Are in violation of organizational policy; or,,
AC-02-03-05,(d) Have been inactive for [Assignment: organization-defined time period].,CUI,03-03-01f.4,3.1.1f.4. Have been inactive for [Assignment: organization-defined time period].,,
AC-02-04-00,AC-2(4)  Account Management | Automated Audit Actions,NCO, ,—,,
AC-02-04-01,"Automatically audit account creation, modification, enabling, disabling, and removal actions.",NCO, ,—,,
AC-02-05-00,AC-2(5)  Account Management | Inactivity Logout,CUI,03-01-23:,3.1.23  Inactivity Logout,,
AC-02-05-01,Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of when to log out].,CUI,03-01-23.,3.1.23. Require that users log out of the system [Selection (one or more): after [Assignment: organization-defined time period] of expected inactivity; when [Assignment: organization-defined circumstances occur]].,,
AC-02-13-00,AC-2(13)  Account Management | Disable Accounts for High-risk Individuals,CUI,03-01-01.,3.1.1 Account Management,,
AC-02-13-01,Disable accounts of individuals within [Assignment: organization-defined time period] of discovery of [Assignment: organization-defined significant risks].,CUI,03-01-01g.,3.1.1g. Disable accounts of individuals within [Assignment: organization-defined time period] of discovery of [Assignment: organization-defined significant risks].,,
AC-03-00-00,AC-3  Access Enforcement,CUI,03-01-02:,3.1.2  Access Enforcement,,
AC-03-00-01,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,CUI,03-01-02.,3.1.2. Enforce approved authorizations for logical access to CUI and system resources in accordance with applicable access control policies.,Tailored to address CUI instead of all information.,
AC-04-00-00,AC-4  Information Flow Enforcement,CUI,03-01-03:,3.1.3  Flow Enforcement,,
AC-04-00-01,Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].,CUI,03-01-03.,3.1.3. Enforce approved authorizations for controlling the flow of CUI within the system and between connected systems.,,
AC-05-00-00,AC-5  Separation of Duties,CUI,03-01-04:,3.1.4  Separation of Duties,,
AC-05-00-01,a. Identify and document [Assignment: organization-defined duties of individuals requiring separation]; and,CUI,03-01-04a.,3.1.4a. Identify the duties of individuals requiring separation.,"Removed ODP to assign ""duties of individuals requiring separation""
Documenting duties is implied by ""identify.""",
AC-05-00-02,b. Define system access authorizations to support separation of duties.,CUI,03-01-04b.,3.1.4b. Define system access authorizations to support separation of duties.,,
AC-06-00-00,AC-6  Least Privilege,CUI,03-01-05:,3.1.5  Least Privilege ,,
AC-06-00-01,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",CUI,03-01-05a.,3.1.5a. Allow only authorized system access for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.,,
AC-06-01-00,AC-6(1)  Least Privilege | Authorize Access to Security Functions,CUI,03-01-05:,3.1.5  Least Privilege ,,
AC-06-01-01,Authorize access for [Assignment: organization-defined individuals or roles] to:,CUI,03-01-05b.,3.1.5b. Authorize access for [Assignment: organization-defined individuals or roles] to [Assignment: organization-defined security functions and security-relevant information].,Combined multiple control items from AC-6(1),
AC-06-01-02,"(a) [Assignment: organization-defined security functions (deployed in hardware, software, and firmware)]; and",CUI,03-01-05b.,3.1.5b. Authorize access for [Assignment: organization-defined individuals or roles] to [Assignment: organization-defined security functions and security-relevant information].,Combined multiple control items from AC-6(1),
AC-06-01-03,(b) [Assignment: organization-defined security-relevant information].,CUI,03-01-05b.,3.1.5b. Authorize access for [Assignment: organization-defined individuals or roles] to [Assignment: organization-defined security functions and security-relevant information].,Combined multiple control items from AC-6(1),
AC-06-02-00,AC-6(2)  Least Privilege | Non-privileged Access for Nonsecurity Functions,CUI,03-01-06:,3.1.6  Least Privilege – Privileged Accounts,,
AC-06-02-01,"Require that users of system accounts (or roles) with access to [Assignment: organization-defined security functions or security-relevant information] use non-privileged accounts or roles, when accessing nonsecurity functions.",CUI,03-01-06b.,3.1.6b. Require that users of system accounts (or roles) with access to [Assignment: organization-defined security functions or security-relevant information] use non-privileged accounts or roles when accessing nonsecurity functions.,,
AC-06-05-00,AC-6(5)  Least Privilege | Privileged Accounts,CUI,03-01-06:,3.1.6  Least Privilege – Privileged Accounts,,
AC-06-05-01,Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].,CUI,03-01-06a.,3.1.6a. Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].,,
AC-06-07-00,AC-6(7)  Least Privilege | Review of User Privileges,CUI,03-01-05:,3.1.5  Least Privilege ,,
AC-06-07-01,(a) Review [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges; and,CUI,03-01-05c.,3.1.5c. Review [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges.,,
AC-06-07-02,"(b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",CUI,03-01-05d.,"3.1.5d. Reassign or remove privileges, as necessary.","Removed clause ""to correctly reflect organizational mission and business needs""",
AC-06-09-00,AC-6(9)  Least Privilege | Log Use of Privileged Functions,CUI,03-01-07:,3.1.7  Least Privilege – Privileged Functions,,
AC-06-09-01,Log the execution of privileged functions.,CUI,03-01-07b.,3.1.7b. Log the execution of privileged functions.,,
AC-06-10-00,AC-6(10)  Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,CUI,03-01-07:,3.1.7  Least Privilege – Privileged Functions,,
AC-06-10-01,Prevent non-privileged users from executing privileged functions.,CUI,03-01-07a.,3.1.7a. Prevent non-privileged users from executing privileged functions.,,
AC-07-00-00,AC-7  Unsuccessful Logon Attempts,CUI,03-01-08:,3.1.8  Unsuccessful Logon Attempts,,
AC-07-00-01,a. Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]; and,CUI,03-01-08.,3.1.8. Limit the number of consecutive invalid logon attempts by a user to [Assignment: organization-defined number] in [Assignment: organization-defined time period].,Rephrased; no change in outcome,
AC-07-00-02,b. Automatically [Selection (one or more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt per [Assignment: organization-defined delay algorithm]; notify system administrator; take other [Assignment: organization-defined action]] when the maximum number of unsuccessful attempts is exceeded.,NFO, ,—,,
AC-08-00-00,AC-8  System Use Notification,CUI,03-01-09:,3.1.9  System Use Notification,,
AC-08-00-01,"a. Display [Assignment: organization-defined system use notification message or banner] to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that:",CUI,03-01-09.,3.1.9. Display system use notification message or banner to users before granting access to the system that provides privacy and security notices consistent with applicable CUI rules.,"Removed ODP to assign ""system use notification message or banner""
Changed ""applicable laws, executive orders, directives, regulations, policies, standards, and guidelines"" to ""CUI rules"" based on scope of SP 800-171",
AC-08-00-02,1. Users are accessing a U.S. Government system;,FED, ,—,,
AC-08-00-03,"2. System usage may be monitored, recorded, and subject to audit;",FED, ,—,,
AC-08-00-04,3. Unauthorized use of the system is prohibited and subject to criminal and civil penalties; and,FED, ,—,,
AC-08-00-05,4. Use of the system indicates consent to monitoring and recording;,FED, ,—,,
AC-08-00-06,b. Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system; and,FED, ,—,,
AC-08-00-07,c. For publicly accessible systems ,FED, ,—,,
AC-08-00-08,"1. Display system use information [Assignment: organization-defined conditions], before granting further access to the publicly accessible system;",FED, ,—,,
AC-08-00-09,"2. Display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and",FED, ,—,,
AC-08-00-10,3. Include a description of the authorized uses of the system.,FED, ,—,,
AC-11-00-00,AC-11  Device Lock,CUI,03-01-10:,3.1.10  Device Lock,,
AC-11-00-01,a. Prevent further access to the system by [Selection (one or more): initiating a device lock after [Assignment: organization-defined time period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended]; and,CUI,03-01-10a.,3.1.10a. Prevent access to the system by [Selection (one or more): initiating a device lock after [Assignment: organization-defined time period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended].,,
AC-11-00-02,b. Retain the device lock until the user reestablishes access using established identification and authentication procedures.,CUI,03-01-10b.,3.1.10b. Retain the device lock until the user reestablishes access using established identification and authentication procedures.,,
AC-11-01-00,AC-11(1)  Device Lock | Pattern-hiding Displays,CUI,03-01-10:,3.1.10  Device Lock,,
AC-11-01-01,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",CUI,03-01-10c.,"3.1.10c. Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",,
AC-12-01-00,AC-12  Session Termination,CUI,03-01-10:,3.1.11  Session Termination,,
AC-12-01-01,"Automatically terminate a user session after [Assignment: organization-defined conditions, or trigger events requiring session disconnect].",CUI,03-01-11.,3.1.11. Terminate a user session automatically after [Assignment: organization-defined conditions or trigger events].,Rephrased; no change in outcome,
AC-14-01-00,AC-14  Permitted Actions Without Identification or Authentication,FED, ,—,,
AC-14-01-01,a. Identify [Assignment: organization-defined user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and,FED, ,—,,
AC-14-01-02,"b. Document and provide supporting rationale in the security plan for the system, user actions not requiring identification or authentication.",FED, ,—,,
AC-17-01-00,AC-17  Remote Access,CUI,03-01-12:,3.1.12  Remote Access,,
AC-17-01-01,"a. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and",CUI,03-01-12a.,"3.1.12a. Establish, authorize, and document usage restrictions, configurations, and connections allowed for each type of permitted remote access.",,
AC-17-01-02,b. Authorize each type of remote access to the system prior to allowing such connections.,CUI,03-01-12a.,3.1.12a.,,
AC-17-01-03,AC-17(1)  Remote Access | Monitoring and Control,CUI,03-01-12:,3.1.12  Remote Access,,
AC-17-01-04,Employ automated mechanisms to monitor and control remote access methods.,CUI,03-01-02b.,3.1.2b. Monitor and control remote access methods.,,
AC-17-02-00,AC-17(2)  Remote Access | Protection of Confidentiality and Integrity Using Encryption,CUI,03-01-12:,3.1.12  Remote Access,,
AC-17-02-01,Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,CUI,03-01-12e.,3.1.12e. Implement cryptographic mechanisms to protect the confidentiality of remote access sessions.,,
AC-17-03-00,AC-17(3)  Remote Access | Managed Access Control Points,CUI,03-01-12:,3.1.12  Remote Access,,
AC-17-03-01,Route remote accesses through authorized and managed network access control points.,CUI,03-01-12c.,3.1.12c. Route remote access to the system through managed access control points.,,
AC-17-04-00,AC-17(4)  Remote Access | Privileged Commands and Access,CUI,03-01-12:,3.1.12  Remote Access,,
AC-17-04-01,(a) Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs  [Assignment: organization-defined needs]; and,CUI,03-01-12d.,3.1.12d. Authorize remote execution of privileged commands and remote access to security-relevant information.,,
AC-17-04-02,(b) Document the rationale for remote access in the security plan for the system.,NCO, ,—,,
AC-18-00-00,AC-18  Wireless Access,CUI,03-01-16:,3.1.16  Wireless Access,,
AC-18-00-01,"a. Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and",CUI,03-01-16a.,"3.1.16a. Establish configuration requirements, connection requirements, and implementation guidance for wireless access to the system.",,
AC-18-00-02,b. Authorize each type of wireless access to the system prior to allowing such connections.,CUI,03-01-16b.,3.1.16b. Authorize wireless access to the system prior to allowing such connections.,,
AC-18-01-00,AC-18(1)  Wireless Access | Authentication and Encryption,CUI,03-01-16:,3.1.16  Wireless Access,,
AC-18-01-01,Protect wireless access to the system using authentication of [Selection (one or more): users; devices] and encryption.,CUI,03-01-16c.,3.1.16c. Protect wireless access to the system using authentication and encryption.,"Removed ODP to select authentication for one or more ""users; devices""",
AC-18-03-00,AC-18(3)  Wireless Access | Disable Wireless Networking,CUI,03-01-16:,3.1.16  Wireless Access,,
AC-18-03-01,"Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment.",CUI,03-01-16d.,"3.1.16d. Disable, when not intended for use, wireless networking capabilities embedded within the system prior to issuance and deployment.",,
AC-19-00-00,AC-19  Access Control for Mobile Devices,CUI,03-01-18:,3.1.18  Access Control for Mobile Devices,,
AC-19-00-01,"a. Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and",CUI,03-01-18a.,"3.1.18a. Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices.","Removed clause ""to include when such devices are outside of controlled areas""",
AC-19-00-02,b. Authorize the connection of mobile devices to organizational systems.,CUI,03-01-18b.,3.1.18b. Authorize the connection of mobile devices to the system.,,
AC-19-00-03,AC-19(5)  Access Control for Mobile Devices | Full Device or Container-based Encryption,CUI,03-01-18:,3.1.18  Access Control for Mobile Devices,,
AC-19-00-04,Employ [Selection: full-device encryption; container-based encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices].,CUI,03-01-18c.,3.1.18c. Implement [Selection: full-device encryption; container-based encryption] to protect the confidentiality of CUI on mobile devices.,"Changed ""confidentiality and integirty of information"" to ""confidentiality of CUI"" based on scope of SP 800-171",
AC-20-00-00,AC-20  Use of External Systems,CUI,03-01-20:,3.1.20  Use of External Systems,,
AC-20-00-01,"a. [Selection (one or more): Establish [Assignment: organization-defined terms and conditions]; Identify [Assignment: organization-defined controls asserted to be implemented on external systems]], consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to: ",CUI,3.1.20a.,"3.1.20a. [Selection (one or more): Establish [Assignment: organization-defined terms and conditions]; Identify [Assignment: organization-defined controls asserted to be implemented on external systems]], consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to:",,
AC-20-00-02,1. Access the system from external systems; and,CUI,3.1.20a.1.,3.1.20a.1. Access the system from external systems; and,,
AC-20-00-03,"2. Process, store, or transmit organization-controlled information using external systems; or",CUI,3.1.20a.1.,"3.1.20a.2. Process, store, or transmit CUI using external systems; or",,
AC-20-00-04,b. Prohibit the use of [Assignment: organizationally-defined types of external systems].,NFO, ,—,,
AC-20-01-00,AC-20(1)  Use of External Systems | Limits on Authorized Use,CUI,03-01-21:,3.1.21 External Systems – Limits and Restrictions on Authorized Use,,
AC-20-01-01,"Permit authorized individuals to use an external system to access the system or to process, store, or transmit organization-controlled information only after:",CUI,03-01-21a.,"3.1.21a. Permit authorized individuals to use an external system to access the system or to process, store, or transmit CUI only after:","Changed ""organization-controlled information"" to ""CUI"" based on scope of SP 800-171",
AC-20-01-02,(a) Verification of the implementation of controls on the external system as specified in the organization’s security and privacy policies and security and privacy plans; or,CUI,03-01-21a.1,3.1.21a.1. Implemented controls on the external system as specified in the organization’s security policies and security and plans are verified; or,Rephrased; no change in outcome,
AC-20-01-03,(b) Retention of approved system connection or processing agreements with the organizational entity hosting the external system.,CUI,03-01-21a.2,3.1.21a.2. Approved system connection or processing agreements with the organizational entity hosting the external system are retained.,Rephrased; no change in outcome,
AC-20-02-00,AC-20(2)  Use of External Systems | Portable Storage Devices — Restricted Use,CUI,03-01-20:,3.1.21 External Systems – Limits and Restrictions on Authorized Use,,
AC-20-02-01,Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using [Assignment: organization-defined restrictions].,CUI,03-01-21b.,3.1.21b. Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems as follows  [Assignment: organization-defined usage restrictions].,Rephrased; no change in outcome,
AC-21-00-00,AC-21  Information Sharing,FED, ,—,,
AC-21-00-01,a. Enable authorized users to determine whether access authorizations assigned to a sharing partner match the information’s access and use restrictions for [Assignment: organization-defined information sharing circumstances where user discretion is required]; and,FED, ,—,,
AC-21-00-02,b. Employ [Assignment: organization-defined automated mechanisms or manual processes] to assist users in making information sharing and collaboration decisions.,FED, ,—,,
AC-22-00-00,AC-22  Publicly Accessible Content,CUI,03-01-22:,3.1.22  Publicly Accessible Content,,
AC-22-00-01,a. Designate individuals authorized to make information publicly accessible;,NCO, ,—,,
AC-22-00-02,b. Train authorized individuals to ensure that publicly accessible information does not contain nonpublic information;,CUI,03-01-22a.,3.1.22a. Train authorized individuals to ensure that publicly accessible information does not contain CUI.,"Changed ""nonpublic information"" to ""CUI"" based on scope of SP 800-171",
AC-22-00-03,c. Review the proposed content of information prior to posting onto the publicly accessible system to ensure that nonpublic information is not included; and,NCO, ,—,,
AC-22-00-04,"d. Review the content on the publicly accessible system for nonpublic information [Assignment: organization-defined frequency] and remove such information, if discovered.",CUI,03-01-22b.,"3.1.22b. Review the content on publicly accessible systems for CUI [Assignment: organization-defined frequency] and remove such information, if discovered.","Changed ""nonpublic information"" to ""CUI"" based on scope of SP 800-171",
AT-01-00-05,AT-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
AT-01-00-06,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only awareness and training policy)
Removed ODP to assign ""personnel or roles""",
AT-01-00-07,1. [Selection (one or more): organization-level; mission/business process-level; system-level] awareness and training policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
AT-01-00-08,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NFO, ,—,,
AT-01-00-09,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NFO, ,—,,
AT-01-00-10,2. Procedures to facilitate the implementation of the awareness and training policy and the associated awareness and training controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only awareness and training procedures),
AT-01-00-11,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the awareness and training policy and procedures; and",NCO, ,—,,
AT-01-00-12,c. Review and update the current awareness and training:,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only awareness and training),
AT-01-00-13,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
AT-01-00-14,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
AT-02-00-00,AT-2  Literacy Training and Awareness,CUI,03-02-01:,3.2.1  Literacy Training and Awareness,,
AT-02-00-01,"a. Provide security and privacy literacy training to system users (including managers, senior executives, and contractors):",CUI,03-02-01a.,3.2.1a. Provide security literacy training to system users ,"Removed ""(including managers, senior executives, and contractors) ""; no change in outcome",
AT-02-00-02,1. As part of initial training for new users and [Assignment: organization-defined frequency] thereafter; and,CUI,03-02-01a.1,3.2.1a.1. As part of initial training for new users and [Assignment: organization-defined frequency] thereafter; and,,
AT-02-00-03,2. When required by system changes or following [Assignment: organization-defined events];,CUI,03-02-01a.2,3.2.1a.2. When required by system changes or following [Assignment: organization-defined events].,,
AT-02-00-04,b. Employ the following techniques to increase the security and privacy awareness of system users [Assignment: organization-defined awareness techniques];,NCO, ,—,,
AT-02-00-05,c. Update literacy training and awareness content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-02-01b.,3.2.1b. Update training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,"Removed ""literacy""; no change in outcome",
AT-02-00-06,d. Incorporate lessons learned from internal or external security or privacy incidents into literacy training and awareness techniques.,NCO, ,—,,
AT-02-02-00,AT-2(2)  Literacy Training and Awareness | Insider Threat,CUI,03-02-03:,3.2.3  Advanced Literacy Training,,
AT-02-02-01,Provide literacy training on recognizing and reporting potential indicators of insider threat.,CUI,03-02-03.,"3.2.3. Provide literacy training on recognizing and reporting potential and actual indicators of insider threat, social engineering, and social mining.",Combined AT-2(2) and AT-2(3),
AT-02-03-00,AT-2(3)  Literacy Training and Awareness | Social Engineering and Mining,CUI,03-02-03:,3.2.3  Advanced Literacy Training,,
AT-02-03-01,Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.,CUI,03-02-03.,"3.2.3. Provide literacy training on recognizing and reporting potential and actual indicators of insider threat, social engineering, and social mining.",Combined AT-2(2) and AT-2(3),
AT-03-00-00,AT-3  Role-based Training,CUI,03-02-02:,3.2.2  Role-Based Training,,
AT-03-00-01,a. Provide role-based security and privacy training to personnel with the following roles and responsibilities [Assignment: organization-defined roles and responsibilities]:,CUI,03-02-02a.,3.2.2a. Provide role-based security training to organizational personnel ,"Removed ""privacy training"" based on scope of SP 800-171
Removed ODP to assign ""roles and responsibilities""
Requirement is applicable to organizational personnel",
